item_name,category,shelf_life_days,unit_price,stock_qty,sales_qty,returned_qty,discount_applied,day_of_week,month,holiday_flag,temperature,rainfall,wasted_food
Bread,Bakery,13,62.26,134,35,0,20,Monday,10,1,7,0,99
Croissant,Bakery,5,106.02,33,12,1,5,Thursday,10,1,5,0,22
Orange,Fruits,6,39.54,192,26,0,15,Monday,6,1,21,0,166
Apple,Fruits,8,24.97,170,160,11,20,Tuesday,12,0,7,0,21
Tomato,Vegetables,15,54.23,71,48,2,15,Saturday,6,0,28,1,25
Yogurt,Dairy,13,187.96,56,38,1,20,Saturday,4,0,34,1,19
Potato,Vegetables,12,71.61,48,14,0,10,Thursday,5,0,18,1,34
Butter,Dairy,8,178.09,254,36,2,5,Tuesday,12,1,32,1,220
Potato,Vegetables,4,106.81,66,6,0,5,Saturday,3,1,9,1,60
Mango,Fruits,10,57.77,25,21,2,0,Saturday,9,1,26,0,6
Carrot,Vegetables,4,96.21,154,128,12,5,Friday,2,1,37,0,38
Yogurt,Dairy,14,40.69,291,0,0,15,Monday,2,1,24,0,291
Croissant,Bakery,11,189.92,63,62,6,0,Sunday,9,0,13,1,7
Yogurt,Dairy,10,175.76,236,54,4,5,Saturday,5,1,28,1,186
Apple,Fruits,5,52.69,193,5,0,20,Tuesday,1,0,8,0,188
Bread,Bakery,15,72.78,283,121,4,15,Tuesday,9,0,35,0,166
Mango,Fruits,5,27.92,240,90,6,15,Thursday,12,0,11,0,156
Orange,Fruits,14,173.72,147,49,1,20,Thursday,3,1,16,1,99
Banana,Fruits,15,185.42,246,206,17,0,Monday,11,0,10,0,57
Butter,Dairy,9,101.46,225,15,0,15,Monday,7,1,34,1,210
Mango,Fruits,4,46.08,131,14,0,10,Monday,1,1,37,0,117
Bread,Bakery,15,45.31,54,43,1,15,Monday,10,0,7,0,12
Orange,Fruits,6,48.81,180,61,2,15,Tuesday,11,1,34,1,121
Bread,Bakery,9,128.02,71,9,0,20,Wednesday,3,1,9,0,62
Onion,Vegetables,4,93.26,298,154,0,20,Wednesday,11,0,13,1,144
Bread,Bakery,13,115.11,159,72,3,10,Tuesday,11,1,37,1,90
Tomato,Vegetables,3,130.51,161,11,0,10,Sunday,3,1,15,1,150
Apple,Fruits,3,24.3,96,69,0,10,Friday,9,0,32,0,27
Muffin,Bakery,7,180.81,40,22,0,5,Saturday,2,1,40,1,18
Cheese,Dairy,15,40.88,110,52,0,5,Saturday,6,1,20,1,58
Milk,Dairy,8,175.71,260,113,3,15,Wednesday,5,0,19,0,150
Butter,Dairy,7,62.93,55,49,2,10,Saturday,9,1,39,1,8
Bread,Bakery,6,43.93,155,9,0,20,Thursday,6,1,32,0,146
Banana,Fruits,6,18.43,243,0,0,10,Thursday,2,1,25,0,243
Onion,Vegetables,12,87.59,226,178,9,20,Tuesday,4,1,29,0,57
Carrot,Vegetables,10,168.41,175,73,3,15,Sunday,10,1,34,1,105
Banana,Fruits,10,99.91,106,84,1,10,Friday,11,1,10,0,23
Potato,Vegetables,14,47.83,32,2,0,15,Friday,2,1,31,0,30
Mango,Fruits,8,56.36,22,3,0,5,Tuesday,12,1,8,0,19
Cake,Bakery,4,162.27,291,286,19,10,Sunday,8,1,40,1,24
Butter,Dairy,9,59.25,146,70,7,5,Wednesday,8,0,23,0,83
Onion,Vegetables,7,179.68,61,8,0,5,Thursday,12,0,18,0,53
Mango,Fruits,7,113.1,232,15,0,15,Thursday,10,0,29,1,217
Muffin,Bakery,6,153.16,234,137,11,20,Sunday,10,0,36,0,108
Carrot,Vegetables,9,15.51,192,171,12,5,Sunday,8,0,39,0,33
Apple,Fruits,3,132.12,89,59,1,0,Wednesday,7,1,18,1,31
Onion,Vegetables,14,177.13,162,107,4,0,Thursday,1,0,27,0,59
Bread,Bakery,14,15.9,146,51,0,20,Tuesday,4,0,35,0,95
Butter,Dairy,13,58.69,208,42,4,20,Saturday,12,0,15,1,170
Bread,Bakery,6,119.4,212,101,3,0,Friday,12,0,11,1,114
Bread,Bakery,7,111.22,209,17,1,0,Sunday,7,1,11,1,193
Carrot,Vegetables,13,39.07,110,93,8,10,Friday,9,1,34,1,25
Onion,Vegetables,15,56.64,64,35,3,5,Sunday,8,1,26,0,32
Orange,Fruits,4,102.63,201,66,2,10,Friday,12,1,40,0,137
Milk,Dairy,5,146.81,270,123,11,15,Saturday,12,1,33,0,158
Muffin,Bakery,5,86.84,144,78,5,15,Friday,9,1,32,1,71
Carrot,Vegetables,6,68.26,138,30,1,10,Monday,12,0,17,0,109
Orange,Fruits,13,122.02,288,144,1,5,Wednesday,4,1,16,1,145
Croissant,Bakery,6,18.65,47,35,2,5,Saturday,8,0,5,1,14
Mango,Fruits,9,74.73,46,16,1,0,Sunday,2,1,36,0,31
Croissant,Bakery,4,164.12,175,21,0,0,Friday,7,0,38,1,154
Mango,Fruits,6,173.43,239,78,0,20,Saturday,2,0,18,1,161
Croissant,Bakery,5,43.02,58,10,0,15,Thursday,12,1,23,0,48
Yogurt,Dairy,13,63.72,252,18,0,10,Sunday,11,0,32,0,234
Cheese,Dairy,6,167.06,56,3,0,10,Friday,12,1,33,0,53
Orange,Fruits,13,86.48,159,128,8,15,Thursday,2,0,32,1,39
Tomato,Vegetables,3,53.5,30,24,2,10,Friday,1,0,35,1,8
Potato,Vegetables,11,92.82,271,46,3,10,Thursday,6,1,11,0,228
Carrot,Vegetables,13,104.14,225,208,17,0,Thursday,2,1,21,1,34
Cake,Bakery,15,107.77,20,17,1,15,Monday,4,1,36,1,4
Croissant,Bakery,6,114.35,167,112,11,15,Monday,1,0,15,1,66
Cake,Bakery,3,52.69,78,59,0,5,Thursday,12,1,37,1,19
Mango,Fruits,9,56.31,94,49,1,20,Friday,12,0,9,1,46
Orange,Fruits,14,106.47,21,9,0,20,Friday,11,1,14,1,12
Orange,Fruits,7,114.86,298,193,14,10,Sunday,4,0,29,0,119
Apple,Fruits,7,151.49,215,98,2,15,Monday,3,1,11,1,119
Cake,Bakery,2,147.26,229,222,20,5,Monday,8,1,26,1,27
Muffin,Bakery,15,138.13,293,194,10,15,Sunday,9,0,9,0,109
Potato,Vegetables,13,27.17,70,12,1,5,Saturday,5,0,7,1,59
Muffin,Bakery,7,81.22,94,31,3,20,Saturday,3,0,16,0,66
Banana,Fruits,9,183.44,93,29,1,10,Thursday,5,0,34,1,65
Milk,Dairy,9,189.59,173,163,13,10,Thursday,5,0,29,1,23
Croissant,Bakery,8,118.67,171,75,0,15,Wednesday,1,0,36,1,96
Yogurt,Dairy,5,130.96,148,35,0,0,Wednesday,8,0,28,0,113
Muffin,Bakery,7,152.02,109,25,0,20,Wednesday,9,1,15,1,84
Orange,Fruits,13,175.38,78,59,0,5,Sunday,4,1,40,1,19
Cake,Bakery,2,60.25,83,58,2,10,Friday,7,1,11,0,27
Apple,Fruits,11,178.0,187,156,7,0,Saturday,8,1,31,0,38
Milk,Dairy,2,67.83,272,59,0,5,Friday,3,1,34,1,213
Banana,Fruits,8,134.44,270,208,8,0,Saturday,6,0,33,1,70
Yogurt,Dairy,3,196.38,208,139,10,10,Monday,7,1,17,0,79
Apple,Fruits,12,50.3,30,1,0,5,Tuesday,10,0,9,0,29
Cheese,Dairy,7,157.13,21,8,0,5,Friday,5,0,12,0,13
Milk,Dairy,7,160.1,141,82,0,5,Wednesday,1,0,31,0,59
Cake,Bakery,9,157.82,282,55,3,20,Tuesday,10,0,38,1,230
Apple,Fruits,2,199.73,225,109,10,0,Thursday,12,1,9,0,126
Potato,Vegetables,3,33.98,300,166,12,20,Friday,5,1,37,1,146
Bread,Bakery,15,134.4,130,110,7,5,Thursday,6,1,30,1,27
Muffin,Bakery,8,69.38,150,95,2,15,Monday,2,0,10,1,57
Muffin,Bakery,14,34.72,50,37,2,0,Thursday,6,1,8,1,15
Onion,Vegetables,3,119.8,128,39,3,5,Sunday,2,1,40,1,92
Muffin,Bakery,11,52.97,239,216,17,20,Friday,11,0,22,0,40
Yogurt,Dairy,13,154.86,193,89,0,5,Sunday,3,1,9,0,104
Bread,Bakery,13,110.79,212,107,7,10,Tuesday,6,1,25,0,112
Croissant,Bakery,4,153.34,45,43,0,10,Thursday,11,1,36,1,2
Orange,Fruits,5,153.44,78,44,3,0,Wednesday,11,1,38,1,37
Croissant,Bakery,8,197.04,48,0,0,10,Tuesday,3,1,23,1,48
Bread,Bakery,9,151.93,109,16,1,20,Saturday,4,1,9,1,94
Cake,Bakery,2,97.35,59,55,2,20,Thursday,10,1,31,1,6
Cake,Bakery,2,193.58,107,102,9,15,Sunday,12,1,10,1,14
Croissant,Bakery,8,121.89,288,40,3,10,Saturday,6,0,26,0,251
Bread,Bakery,10,106.89,198,89,2,5,Monday,3,1,17,0,111
Milk,Dairy,4,190.75,272,237,18,20,Thursday,11,1,25,0,53
Apple,Fruits,9,94.02,175,70,0,10,Friday,2,1,34,1,105
Bread,Bakery,7,168.02,59,41,0,20,Friday,9,1,34,0,18
Banana,Fruits,7,124.95,276,77,0,15,Monday,6,0,37,0,199
Croissant,Bakery,13,93.17,244,134,8,20,Tuesday,6,1,23,1,118
Orange,Fruits,12,123.6,191,16,1,0,Friday,11,1,23,1,176
Yogurt,Dairy,3,120.72,92,44,2,15,Tuesday,10,0,24,1,50
Potato,Vegetables,12,143.54,289,47,3,20,Wednesday,1,1,24,0,245
Yogurt,Dairy,14,102.39,135,35,1,0,Wednesday,2,0,26,0,101
Banana,Fruits,4,44.36,104,92,7,0,Thursday,6,0,33,1,19
Banana,Fruits,10,55.44,260,99,5,20,Thursday,8,1,29,1,166
Cheese,Dairy,14,124.89,148,13,1,10,Friday,2,0,23,0,136
Yogurt,Dairy,9,182.01,95,55,0,5,Sunday,8,1,6,1,40
Cake,Bakery,10,81.05,217,20,1,5,Monday,6,0,26,0,198
Milk,Dairy,6,184.31,261,71,7,15,Friday,1,0,6,1,197
Cheese,Dairy,10,188.64,290,216,3,10,Tuesday,5,0,8,0,77
Mango,Fruits,3,31.06,275,274,0,20,Friday,4,0,23,1,1
Muffin,Bakery,5,118.43,115,85,1,20,Wednesday,2,0,29,1,31
Cake,Bakery,7,58.19,28,11,0,10,Tuesday,12,0,26,0,17
Muffin,Bakery,10,74.32,109,106,10,15,Saturday,8,0,13,0,13
Apple,Fruits,6,48.3,122,113,0,10,Wednesday,9,1,39,1,9
Tomato,Vegetables,14,132.91,166,91,0,10,Wednesday,2,1,32,1,75
Mango,Fruits,7,195.01,274,254,11,20,Wednesday,2,1,10,1,31
Yogurt,Dairy,7,29.49,187,169,9,10,Thursday,10,1,15,1,27
Carrot,Vegetables,2,148.09,200,157,13,10,Saturday,1,0,30,1,56
Milk,Dairy,4,171.25,244,8,0,0,Tuesday,11,1,28,1,236
Croissant,Bakery,12,95.49,209,95,7,0,Friday,3,1,30,1,121
Potato,Vegetables,3,14.92,115,63,4,15,Friday,2,1,21,1,56
Yogurt,Dairy,13,184.13,271,102,1,5,Sunday,2,1,16,1,170
Muffin,Bakery,12,76.01,53,35,2,10,Sunday,3,0,28,0,20
Croissant,Bakery,14,36.39,272,13,1,20,Friday,6,1,40,0,260
Bread,Bakery,6,85.65,265,210,13,20,Monday,3,1,9,1,68
Orange,Fruits,4,176.81,113,98,2,15,Friday,1,0,38,0,17
Potato,Vegetables,4,71.31,135,88,8,10,Sunday,2,1,17,1,55
Yogurt,Dairy,11,111.36,277,86,2,5,Saturday,10,1,7,0,193
Bread,Bakery,12,156.49,155,53,4,15,Friday,11,0,36,1,106
Carrot,Vegetables,5,162.89,227,76,7,0,Saturday,1,0,33,1,158
Mango,Fruits,5,74.64,93,40,2,10,Thursday,3,1,37,0,55
Potato,Vegetables,9,33.28,250,63,1,0,Monday,5,1,31,0,188
